id,gender,age,APM,t1_raw,t1_scale,t1_perc,t2_raw,t2_scale,t2_perc,t1_perc_subj,change_raw,change_subj,change_confidence
Hjort,Kvinde,22,8,25,9,95,29,11,105,30,4,2,2
Baever,Mand,22,7,29,11,105,28,11,105,40,-1,1,3
Hund,Kvinde,21,9,28,11,105,37,16,130,80,9,1,3
Ulv,Kvinde,21,7,27,10,100,30,12,110,60,3,3,3
Isbjoern,Mand,21,5,23,8,90,22,8,90,20,-1,1,2
Tiger,Kvinde,27,7,24,10,100,20,7,85,70,-4,2,2
Solsort,Kvinde,21,7,28,11,105,33,14,120,50,5,1,3
Chimpanze,Kvinde,21,5,23,8,90,23,8,90,60,0,2,2
Kanin,Mand,24,8,26,10,100,27,10,100,70,1,3,3
Elefant,Kvinde,24,7,24,9,95,30,12,110,30,6,1,2
Grib,Kvinde,29,7,25,10,100,27,11,105,70,2,1,1
Egern,Kvinde,21,8,23,8,90,31,12,110,60,8,1,2
Loeve,Kvinde,24,9,28,11,105,28,11,105,60,0,2,4
Pingvin,Mand,22,10,23,8,90,26,10,100,40,3,3,3
Ugle,Mand,23,8,31,12,110,30,12,110,50,-1,2,2
Orangutang,Mand,21,10,36,15,125,35,15,125,30,-1,2,3
Antilope,Kvinde,31,10,21,8,90,21,8,90,30,0,2,3
Kat,Kvinde,34,9,26,11,105,28,12,110,50,2,3,3
Panda,Mand,24,6,20,7,85,24,9,95,60,4,3,2
Ged,Mand,28,4,24,10,100,28,12,110,30,4,3,4
Bjoern,Mand,25,6,23,9,95,26,11,105,30,3,3,2
Giraf,Kvinde,22,6,21,7,85,20,7,85,50,-1,3,4
Tun,Mand,22,10,22,8,90,31,12,110,30,9,4,1
Harre,Mand,21,2,21,7,85,25,9,95,50,4,2,2
Hamster,Kvinde,21,10,25,9,95,26,10,100,60,1,3,2
